country_region,province_state,lat,long,case_type,date,cases
China,Hong Kong,22.3,114.2,Deaths,2020-02-13,1
China,Hubei,30.9756,112.2707,Deaths,2020-02-13,1310
China,Hunan,27.6104,111.7088,Deaths,2020-02-13,2
China,Inner Mongolia,44.0935,113.9448,Deaths,2020-02-13,0
China,Jiangsu,32.9711,119.455,Deaths,2020-02-13,0
China,Jiangxi,27.614,115.7221,Deaths,2020-02-13,1
China,Jilin,43.6661,126.1923,Deaths,2020-02-13,1
China,Liaoning,41.2956,122.6085,Deaths,2020-02-13,1
China,Macau,22.1667,113.55,Deaths,2020-02-13,0
China,Ningxia,37.2692,106.1655,Deaths,2020-02-13,0
China,Qinghai,35.7452,95.9956,Deaths,2020-02-13,0
China,Shaanxi,35.1917,108.8701,Deaths,2020-02-13,0
China,Shandong,36.3427,118.1498,Deaths,2020-02-13,2
China,Shanghai,31.202,121.4491,Deaths,2020-02-13,1
China,Shanxi,37.5777,112.2922,Deaths,2020-02-13,0
China,Sichuan,30.6171,102.7103,Deaths,2020-02-13,1
China,Tianjin,39.3054,117.323,Deaths,2020-02-13,3
China,Tibet,31.6927,88.0924,Deaths,2020-02-13,0
China,Xinjiang,41.1129,85.2401,Deaths,2020-02-13,1
China,Yunnan,24.974,101.487,Deaths,2020-02-13,0
China,Zhejiang,29.1832,120.0934,Deaths,2020-02-13,0
Colombia,Entire,4.5709,-74.2973,Deaths,2020-02-13,0
Congo (Brazzaville),Entire,-4.0383,21.7587,Deaths,2020-02-13,0
Congo (Kinshasa),Entire,-4.0383,21.7587,Deaths,2020-02-13,0
Costa Rica,Entire,9.7489,-83.7534,Deaths,2020-02-13,0
Cote d'Ivoire,Entire,7.54,-5.5471,Deaths,2020-02-13,0
Croatia,Entire,45.1,15.2,Deaths,2020-02-13,0
Diamond Princess,Entire,0.0,0.0,Deaths,2020-02-13,0
Cuba,Entire,22.0,-80.0,Deaths,2020-02-13,0
Cyprus,Entire,35.1264,33.4299,Deaths,2020-02-13,0
Czechia,Entire,49.8175,15.473,Deaths,2020-02-13,0
Denmark,Faroe Islands,61.8926,-6.9118,Deaths,2020-02-13,0
Denmark,Greenland,71.7069,-42.6043,Deaths,2020-02-13,0
Denmark,Entire,56.2639,9.5018,Deaths,2020-02-13,0
Djibouti,Entire,11.8251,42.5903,Deaths,2020-02-13,0
Dominican Republic,Entire,18.7357,-70.1627,Deaths,2020-02-13,0
Ecuador,Entire,-1.8312,-78.1834,Deaths,2020-02-13,0
Egypt,Entire,26.0,30.0,Deaths,2020-02-13,0
El Salvador,Entire,13.7942,-88.8965,Deaths,2020-02-13,0
Equatorial Guinea,Entire,1.5,10.0,Deaths,2020-02-13,0
Eritrea,Entire,15.1794,39.7823,Deaths,2020-02-13,0
Estonia,Entire,58.5953,25.0136,Deaths,2020-02-13,0
Eswatini,Entire,-26.5225,31.4659,Deaths,2020-02-13,0
Ethiopia,Entire,9.145,40.4897,Deaths,2020-02-13,0
Fiji,Entire,-17.7134,178.065,Deaths,2020-02-13,0
Finland,Entire,64.0,26.0,Deaths,2020-02-13,0
France,French Guiana,3.9339,-53.1258,Deaths,2020-02-13,0
France,French Polynesia,-17.6797,149.4068,Deaths,2020-02-13,0
France,Guadeloupe,16.25,-61.5833,Deaths,2020-02-13,0
France,Mayotte,-12.8275,45.1662,Deaths,2020-02-13,0
France,New Caledonia,-20.9043,165.618,Deaths,2020-02-13,0
France,Reunion,-21.1351,55.2471,Deaths,2020-02-13,0
France,Saint Barthelemy,17.9,-62.8333,Deaths,2020-02-13,0
France,St Martin,18.0708,-63.0501,Deaths,2020-02-13,0
France,Martinique,14.6415,-61.0242,Deaths,2020-02-13,0
France,Entire,46.2276,2.2137,Deaths,2020-02-13,0
Gabon,Entire,-0.8037,11.6094,Deaths,2020-02-13,0
Gambia,Entire,13.4432,-15.3101,Deaths,2020-02-13,0
Georgia,Entire,42.3154,43.3569,Deaths,2020-02-13,0
Germany,Entire,51.0,9.0,Deaths,2020-02-13,0
Ghana,Entire,7.9465,-1.0232,Deaths,2020-02-13,0
Greece,Entire,39.0742,21.8243,Deaths,2020-02-13,0
Guatemala,Entire,15.7835,-90.2308,Deaths,2020-02-13,0
Guinea,Entire,9.9456,-9.6966,Deaths,2020-02-13,0
Guyana,Entire,5.0,-58.75,Deaths,2020-02-13,0
Haiti,Entire,18.9712,-72.2852,Deaths,2020-02-13,0
Holy See,Entire,41.9029,12.4534,Deaths,2020-02-13,0
Honduras,Entire,15.2,-86.2419,Deaths,2020-02-13,0
Hungary,Entire,47.1625,19.5033,Deaths,2020-02-13,0
Iceland,Entire,64.9631,-19.0208,Deaths,2020-02-13,0
India,Entire,21.0,78.0,Deaths,2020-02-13,0
Indonesia,Entire,-0.7893,113.9213,Deaths,2020-02-13,0
Iran,Entire,32.0,53.0,Deaths,2020-02-13,0
Iraq,Entire,33.0,44.0,Deaths,2020-02-13,0
Ireland,Entire,53.1424,-7.6921,Deaths,2020-02-13,0
Israel,Entire,31.0,35.0,Deaths,2020-02-13,0
Italy,Entire,43.0,12.0,Deaths,2020-02-13,0
Jamaica,Entire,18.1096,-77.2975,Deaths,2020-02-13,0
Japan,Entire,36.0,138.0,Deaths,2020-02-13,1
Jordan,Entire,31.24,36.51,Deaths,2020-02-13,0
Kazakhstan,Entire,48.0196,66.9237,Deaths,2020-02-13,0
Kenya,Entire,-0.0236,37.9062,Deaths,2020-02-13,0
"Korea, South",Entire,36.0,128.0,Deaths,2020-02-13,0
Kuwait,Entire,29.5,47.75,Deaths,2020-02-13,0
Kyrgyzstan,Entire,41.2044,74.7661,Deaths,2020-02-13,0
Latvia,Entire,56.8796,24.6032,Deaths,2020-02-13,0
Lebanon,Entire,33.8547,35.8623,Deaths,2020-02-13,0
Liberia,Entire,6.4281,-9.4295,Deaths,2020-02-13,0
Liechtenstein,Entire,47.14,9.55,Deaths,2020-02-13,0
Lithuania,Entire,55.1694,23.8813,Deaths,2020-02-13,0
Luxembourg,Entire,49.8153,6.1296,Deaths,2020-02-13,0
Madagascar,Entire,-18.7669,46.8691,Deaths,2020-02-13,0
Malaysia,Entire,2.5,112.5,Deaths,2020-02-13,0
Maldives,Entire,3.2028,73.2207,Deaths,2020-02-13,0
Malta,Entire,35.9375,14.3754,Deaths,2020-02-13,0
Mauritania,Entire,21.0079,10.9408,Deaths,2020-02-13,0
Mauritius,Entire,-20.2,57.5,Deaths,2020-02-13,0
Mexico,Entire,23.6345,-102.5528,Deaths,2020-02-13,0
Moldova,Entire,47.4116,28.3699,Deaths,2020-02-13,0
Monaco,Entire,43.7333,7.4167,Deaths,2020-02-13,0
Mongolia,Entire,46.8625,103.8467,Deaths,2020-02-13,0
Montenegro,Entire,42.5,19.3,Deaths,2020-02-13,0
Morocco,Entire,31.7917,-7.0926,Deaths,2020-02-13,0
Namibia,Entire,-22.9576,18.4904,Deaths,2020-02-13,0
Nepal,Entire,28.1667,84.25,Deaths,2020-02-13,0
Netherlands,Aruba,12.5186,-70.0358,Deaths,2020-02-13,0
Netherlands,Curacao,12.1696,-68.99,Deaths,2020-02-13,0
Netherlands,Sint Maarten,18.0425,-63.0548,Deaths,2020-02-13,0
Netherlands,Entire,52.1326,5.2913,Deaths,2020-02-13,0
New Zealand,Entire,-40.9006,174.886,Deaths,2020-02-13,0
Nicaragua,Entire,12.8654,-85.2072,Deaths,2020-02-13,0
Niger,Entire,17.6078,8.0817,Deaths,2020-02-13,0
Nigeria,Entire,9.082,8.6753,Deaths,2020-02-13,0
North Macedonia,Entire,41.6086,21.7453,Deaths,2020-02-13,0
Norway,Entire,60.472,8.4689,Deaths,2020-02-13,0
Oman,Entire,21.0,57.0,Deaths,2020-02-13,0
Pakistan,Entire,30.3753,69.3451,Deaths,2020-02-13,0
Panama,Entire,8.538,-80.7821,Deaths,2020-02-13,0
Papua New Guinea,Entire,-6.315,143.9555,Deaths,2020-02-13,0
Paraguay,Entire,-23.4425,-58.4438,Deaths,2020-02-13,0
Peru,Entire,-9.19,-75.0152,Deaths,2020-02-13,0
Philippines,Entire,13.0,122.0,Deaths,2020-02-13,1
Poland,Entire,51.9194,19.1451,Deaths,2020-02-13,0
Portugal,Entire,39.3999,-8.2245,Deaths,2020-02-13,0
Qatar,Entire,25.3548,51.1839,Deaths,2020-02-13,0
Romania,Entire,45.9432,24.9668,Deaths,2020-02-13,0
Russia,Entire,60.0,90.0,Deaths,2020-02-13,0
Rwanda,Entire,-1.9403,29.8739,Deaths,2020-02-13,0
Saint Lucia,Entire,13.9094,-60.9789,Deaths,2020-02-13,0
Saint Vincent and the Grenadines,Entire,12.9843,-61.2872,Deaths,2020-02-13,0
San Marino,Entire,43.9424,12.4578,Deaths,2020-02-13,0
Saudi Arabia,Entire,24.0,45.0,Deaths,2020-02-13,0
Senegal,Entire,14.4974,-14.4524,Deaths,2020-02-13,0
Serbia,Entire,44.0165,21.0059,Deaths,2020-02-13,0
Seychelles,Entire,-4.6796,55.492,Deaths,2020-02-13,0
Singapore,Entire,1.2833,103.8333,Deaths,2020-02-13,0
Slovakia,Entire,48.669,19.699,Deaths,2020-02-13,0
Slovenia,Entire,46.1512,14.9955,Deaths,2020-02-13,0
Somalia,Entire,5.1521,46.1996,Deaths,2020-02-13,0
South Africa,Entire,-30.5595,22.9375,Deaths,2020-02-13,0
Spain,Entire,40.0,-4.0,Deaths,2020-02-13,0
Sri Lanka,Entire,7.0,81.0,Deaths,2020-02-13,0
Sudan,Entire,12.8628,30.2176,Deaths,2020-02-13,0
Suriname,Entire,3.9193,-56.0278,Deaths,2020-02-13,0
Sweden,Entire,63.0,16.0,Deaths,2020-02-13,0
Switzerland,Entire,46.8182,8.2275,Deaths,2020-02-13,0
Taiwan*,Entire,23.7,121.0,Deaths,2020-02-13,0
Tanzania,Entire,-6.369,34.8888,Deaths,2020-02-13,0
Thailand,Entire,15.0,101.0,Deaths,2020-02-13,0
Togo,Entire,8.6195,0.8248,Deaths,2020-02-13,0
Trinidad and Tobago,Entire,10.6918,-61.2225,Deaths,2020-02-13,0
Tunisia,Entire,34.0,9.0,Deaths,2020-02-13,0
Turkey,Entire,38.9637,35.2433,Deaths,2020-02-13,0
Uganda,Entire,1.0,32.0,Deaths,2020-02-13,0
Ukraine,Entire,48.3794,31.1656,Deaths,2020-02-13,0
United Arab Emirates,Entire,24.0,54.0,Deaths,2020-02-13,0
United Kingdom,Bermuda,32.3078,-64.7505,Deaths,2020-02-13,0
United Kingdom,Cayman Islands,19.3133,-81.2546,Deaths,2020-02-13,0
United Kingdom,Channel Islands,49.3723,-2.3644,Deaths,2020-02-13,0
United Kingdom,Gibraltar,36.1408,-5.3536,Deaths,2020-02-13,0
United Kingdom,Isle of Man,54.2361,-4.5481,Deaths,2020-02-13,0
United Kingdom,Montserrat,16.7425,-62.1874,Deaths,2020-02-13,0
United Kingdom,Entire,55.3781,-3.4360000000000004,Deaths,2020-02-13,0
Uruguay,Entire,-32.5228,-55.7658,Deaths,2020-02-13,0
US,Entire,37.0902,-95.7129,Deaths,2020-02-13,0
Uzbekistan,Entire,41.3775,64.5853,Deaths,2020-02-13,0
Venezuela,Entire,6.4238,-66.5897,Deaths,2020-02-13,0
Vietnam,Entire,16.0,108.0,Deaths,2020-02-13,0
Zambia,Entire,-15.4167,28.2833,Deaths,2020-02-13,0
Zimbabwe,Entire,-20.0,30.0,Deaths,2020-02-13,0
Canada,Diamond Princess,0.0,0.0,Deaths,2020-02-13,0
Dominica,Entire,15.415,-61.371,Deaths,2020-02-13,0
Grenada,Entire,12.1165,-61.679,Deaths,2020-02-13,0
Mozambique,Entire,-18.665695,35.529562,Deaths,2020-02-13,0
Syria,Entire,34.802075,38.99681500000001,Deaths,2020-02-13,0
Timor-Leste,Entire,-8.874217,125.727539,Deaths,2020-02-13,0
Belize,Entire,13.1939,-59.5432,Deaths,2020-02-13,0
Canada,Recovered,0.0,0.0,Deaths,2020-02-13,0
Laos,Entire,19.85627,102.495496,Deaths,2020-02-13,0
Libya,Entire,26.3351,17.228331,Deaths,2020-02-13,0
West Bank and Gaza,Entire,31.9522,35.2332,Deaths,2020-02-13,0
Guinea-Bissau,Entire,11.8037,-15.1804,Deaths,2020-02-13,0
Mali,Entire,17.570692,-3.996166000000001,Deaths,2020-02-13,0
Saint Kitts and Nevis,Entire,17.357822,-62.782998,Deaths,2020-02-13,0
Canada,Northwest Territories,64.8255,-124.8457,Deaths,2020-02-13,0
Canada,Yukon,64.2823,-135.0,Deaths,2020-02-13,0
Kosovo,Entire,42.602636,20.902977,Deaths,2020-02-13,0
Burma,Entire,21.9162,95.956,Deaths,2020-02-13,0
United Kingdom,Anguilla,18.2206,-63.0686,Deaths,2020-02-13,0
United Kingdom,British Virgin Islands,18.4207,-64.64,Deaths,2020-02-13,0
United Kingdom,Turks and Caicos Islands,21.69400000000001,-71.7979,Deaths,2020-02-13,0
MS Zaandam,Entire,0.0,0.0,Deaths,2020-02-13,0
Afghanistan,Entire,33.0,65.0,Deaths,2020-02-14,0
Albania,Entire,41.1533,20.1683,Deaths,2020-02-14,0
Algeria,Entire,28.0339,1.6596,Deaths,2020-02-14,0
Andorra,Entire,42.5063,1.5218,Deaths,2020-02-14,0
Angola,Entire,-11.2027,17.8739,Deaths,2020-02-14,0
Antigua and Barbuda,Entire,17.0608,-61.7964,Deaths,2020-02-14,0
Argentina,Entire,-38.4161,-63.6167,Deaths,2020-02-14,0
Armenia,Entire,40.0691,45.0382,Deaths,2020-02-14,0
Australia,Australian Capital Territory,-35.4735,149.0124,Deaths,2020-02-14,0
Australia,New South Wales,-33.8688,151.2093,Deaths,2020-02-14,0
Australia,Northern Territory,-12.4634,130.8456,Deaths,2020-02-14,0
Australia,Queensland,-28.0167,153.4,Deaths,2020-02-14,0
Australia,South Australia,-34.9285,138.6007,Deaths,2020-02-14,0
Australia,Tasmania,-41.4545,145.9707,Deaths,2020-02-14,0
Australia,Victoria,-37.8136,144.9631,Deaths,2020-02-14,0
Australia,Western Australia,-31.9505,115.8605,Deaths,2020-02-14,0
Austria,Entire,47.5162,14.5501,Deaths,2020-02-14,0
Azerbaijan,Entire,40.1431,47.5769,Deaths,2020-02-14,0
Bahamas,Entire,25.0343,-77.3963,Deaths,2020-02-14,0
Bahrain,Entire,26.0275,50.55,Deaths,2020-02-14,0
Bangladesh,Entire,23.685,90.3563,Deaths,2020-02-14,0
Barbados,Entire,13.1939,-59.5432,Deaths,2020-02-14,0
Belarus,Entire,53.7098,27.9534,Deaths,2020-02-14,0
Belgium,Entire,50.8333,4.0,Deaths,2020-02-14,0
Benin,Entire,9.3077,2.3158,Deaths,2020-02-14,0
Bhutan,Entire,27.5142,90.4336,Deaths,2020-02-14,0
Bolivia,Entire,-16.2902,-63.5887,Deaths,2020-02-14,0
Bosnia and Herzegovina,Entire,43.9159,17.6791,Deaths,2020-02-14,0
Brazil,Entire,-14.235,-51.9253,Deaths,2020-02-14,0
Brunei,Entire,4.5353,114.7277,Deaths,2020-02-14,0
Bulgaria,Entire,42.7339,25.4858,Deaths,2020-02-14,0
Burkina Faso,Entire,12.2383,-1.5616,Deaths,2020-02-14,0
Cabo Verde,Entire,16.5388,-23.0418,Deaths,2020-02-14,0
Cambodia,Entire,11.55,104.9167,Deaths,2020-02-14,0
Cameroon,Entire,3.848,11.5021,Deaths,2020-02-14,0
Canada,Alberta,53.9333,-116.5765,Deaths,2020-02-14,0
Canada,British Columbia,49.2827,-123.1207,Deaths,2020-02-14,0
Canada,Grand Princess,37.6489,-122.6655,Deaths,2020-02-14,0
Canada,Manitoba,53.7609,-98.8139,Deaths,2020-02-14,0
Canada,New Brunswick,46.5653,-66.4619,Deaths,2020-02-14,0
Canada,Newfoundland and Labrador,53.1355,-57.6604,Deaths,2020-02-14,0
Canada,Nova Scotia,44.682,-63.7443,Deaths,2020-02-14,0
Canada,Ontario,51.2538,-85.3232,Deaths,2020-02-14,0
Canada,Prince Edward Island,46.5107,-63.4168,Deaths,2020-02-14,0
Canada,Quebec,52.9399,-73.5491,Deaths,2020-02-14,0
Canada,Saskatchewan,52.9399,-106.4509,Deaths,2020-02-14,0
Central African Republic,Entire,6.6111,20.9394,Deaths,2020-02-14,0
Chad,Entire,15.4542,18.7322,Deaths,2020-02-14,0
Chile,Entire,-35.6751,-71.543,Deaths,2020-02-14,0
China,Anhui,31.8257,117.2264,Deaths,2020-02-14,6
China,Beijing,40.1824,116.4142,Deaths,2020-02-14,3
China,Chongqing,30.0572,107.874,Deaths,2020-02-14,5
China,Fujian,26.0789,117.9874,Deaths,2020-02-14,0
China,Gansu,37.8099,101.0583,Deaths,2020-02-14,2
China,Guangdong,23.3417,113.4244,Deaths,2020-02-14,2
China,Guangxi,23.8298,108.7881,Deaths,2020-02-14,2
China,Guizhou,26.8154,106.8748,Deaths,2020-02-14,1
China,Hainan,19.1959,109.7453,Deaths,2020-02-14,4
China,Hebei,39.549,116.1306,Deaths,2020-02-14,3
China,Heilongjiang,47.862,127.7615,Deaths,2020-02-14,11
China,Henan,33.882,113.614,Deaths,2020-02-14,11
China,Hong Kong,22.3,114.2,Deaths,2020-02-14,1
China,Hubei,30.9756,112.2707,Deaths,2020-02-14,1457
China,Hunan,27.6104,111.7088,Deaths,2020-02-14,2
China,Inner Mongolia,44.0935,113.9448,Deaths,2020-02-14,0
China,Jiangsu,32.9711,119.455,Deaths,2020-02-14,0
China,Jiangxi,27.614,115.7221,Deaths,2020-02-14,1
China,Jilin,43.6661,126.1923,Deaths,2020-02-14,1
China,Liaoning,41.2956,122.6085,Deaths,2020-02-14,1
China,Macau,22.1667,113.55,Deaths,2020-02-14,0
China,Ningxia,37.2692,106.1655,Deaths,2020-02-14,0
China,Qinghai,35.7452,95.9956,Deaths,2020-02-14,0
China,Shaanxi,35.1917,108.8701,Deaths,2020-02-14,0
China,Shandong,36.3427,118.1498,Deaths,2020-02-14,2
China,Shanghai,31.202,121.4491,Deaths,2020-02-14,1
China,Shanxi,37.5777,112.2922,Deaths,2020-02-14,0
China,Sichuan,30.6171,102.7103,Deaths,2020-02-14,1
China,Tianjin,39.3054,117.323,Deaths,2020-02-14,3
China,Tibet,31.6927,88.0924,Deaths,2020-02-14,0
China,Xinjiang,41.1129,85.2401,Deaths,2020-02-14,1
China,Yunnan,24.974,101.487,Deaths,2020-02-14,0
China,Zhejiang,29.1832,120.0934,Deaths,2020-02-14,0
Colombia,Entire,4.5709,-74.2973,Deaths,2020-02-14,0
Congo (Brazzaville),Entire,-4.0383,21.7587,Deaths,2020-02-14,0
Congo (Kinshasa),Entire,-4.0383,21.7587,Deaths,2020-02-14,0
Costa Rica,Entire,9.7489,-83.7534,Deaths,2020-02-14,0
Cote d'Ivoire,Entire,7.54,-5.5471,Deaths,2020-02-14,0
Croatia,Entire,45.1,15.2,Deaths,2020-02-14,0
Diamond Princess,Entire,0.0,0.0,Deaths,2020-02-14,0
Cuba,Entire,22.0,-80.0,Deaths,2020-02-14,0
Cyprus,Entire,35.1264,33.4299,Deaths,2020-02-14,0
Czechia,Entire,49.8175,15.473,Deaths,2020-02-14,0
Denmark,Faroe Islands,61.8926,-6.9118,Deaths,2020-02-14,0
Denmark,Greenland,71.7069,-42.6043,Deaths,2020-02-14,0
Denmark,Entire,56.2639,9.5018,Deaths,2020-02-14,0
Djibouti,Entire,11.8251,42.5903,Deaths,2020-02-14,0
Dominican Republic,Entire,18.7357,-70.1627,Deaths,2020-02-14,0
Ecuador,Entire,-1.8312,-78.1834,Deaths,2020-02-14,0
Egypt,Entire,26.0,30.0,Deaths,2020-02-14,0
El Salvador,Entire,13.7942,-88.8965,Deaths,2020-02-14,0
Equatorial Guinea,Entire,1.5,10.0,Deaths,2020-02-14,0
Eritrea,Entire,15.1794,39.7823,Deaths,2020-02-14,0
Estonia,Entire,58.5953,25.0136,Deaths,2020-02-14,0
Eswatini,Entire,-26.5225,31.4659,Deaths,2020-02-14,0
Ethiopia,Entire,9.145,40.4897,Deaths,2020-02-14,0
Fiji,Entire,-17.7134,178.065,Deaths,2020-02-14,0
Finland,Entire,64.0,26.0,Deaths,2020-02-14,0
France,French Guiana,3.9339,-53.1258,Deaths,2020-02-14,0
France,French Polynesia,-17.6797,149.4068,Deaths,2020-02-14,0
France,Guadeloupe,16.25,-61.5833,Deaths,2020-02-14,0
France,Mayotte,-12.8275,45.1662,Deaths,2020-02-14,0
France,New Caledonia,-20.9043,165.618,Deaths,2020-02-14,0
France,Reunion,-21.1351,55.2471,Deaths,2020-02-14,0
France,Saint Barthelemy,17.9,-62.8333,Deaths,2020-02-14,0
France,St Martin,18.0708,-63.0501,Deaths,2020-02-14,0
France,Martinique,14.6415,-61.0242,Deaths,2020-02-14,0
France,Entire,46.2276,2.2137,Deaths,2020-02-14,0
Gabon,Entire,-0.8037,11.6094,Deaths,2020-02-14,0
Gambia,Entire,13.4432,-15.3101,Deaths,2020-02-14,0
Georgia,Entire,42.3154,43.3569,Deaths,2020-02-14,0
Germany,Entire,51.0,9.0,Deaths,2020-02-14,0
Ghana,Entire,7.9465,-1.0232,Deaths,2020-02-14,0
Greece,Entire,39.0742,21.8243,Deaths,2020-02-14,0
Guatemala,Entire,15.7835,-90.2308,Deaths,2020-02-14,0
Guinea,Entire,9.9456,-9.6966,Deaths,2020-02-14,0
Guyana,Entire,5.0,-58.75,Deaths,2020-02-14,0
Haiti,Entire,18.9712,-72.2852,Deaths,2020-02-14,0
Holy See,Entire,41.9029,12.4534,Deaths,2020-02-14,0
Honduras,Entire,15.2,-86.2419,Deaths,2020-02-14,0
Hungary,Entire,47.1625,19.5033,Deaths,2020-02-14,0
Iceland,Entire,64.9631,-19.0208,Deaths,2020-02-14,0
India,Entire,21.0,78.0,Deaths,2020-02-14,0
Indonesia,Entire,-0.7893,113.9213,Deaths,2020-02-14,0
Iran,Entire,32.0,53.0,Deaths,2020-02-14,0
Iraq,Entire,33.0,44.0,Deaths,2020-02-14,0
Ireland,Entire,53.1424,-7.6921,Deaths,2020-02-14,0
Israel,Entire,31.0,35.0,Deaths,2020-02-14,0
Italy,Entire,43.0,12.0,Deaths,2020-02-14,0
Jamaica,Entire,18.1096,-77.2975,Deaths,2020-02-14,0
Japan,Entire,36.0,138.0,Deaths,2020-02-14,1
Jordan,Entire,31.24,36.51,Deaths,2020-02-14,0
Kazakhstan,Entire,48.0196,66.9237,Deaths,2020-02-14,0
Kenya,Entire,-0.0236,37.9062,Deaths,2020-02-14,0
"Korea, South",Entire,36.0,128.0,Deaths,2020-02-14,0
Kuwait,Entire,29.5,47.75,Deaths,2020-02-14,0
Kyrgyzstan,Entire,41.2044,74.7661,Deaths,2020-02-14,0
Latvia,Entire,56.8796,24.6032,Deaths,2020-02-14,0
Lebanon,Entire,33.8547,35.8623,Deaths,2020-02-14,0
Liberia,Entire,6.4281,-9.4295,Deaths,2020-02-14,0
Liechtenstein,Entire,47.14,9.55,Deaths,2020-02-14,0
Lithuania,Entire,55.1694,23.8813,Deaths,2020-02-14,0
Luxembourg,Entire,49.8153,6.1296,Deaths,2020-02-14,0
Madagascar,Entire,-18.7669,46.8691,Deaths,2020-02-14,0
Malaysia,Entire,2.5,112.5,Deaths,2020-02-14,0
Maldives,Entire,3.2028,73.2207,Deaths,2020-02-14,0
Malta,Entire,35.9375,14.3754,Deaths,2020-02-14,0
Mauritania,Entire,21.0079,10.9408,Deaths,2020-02-14,0
Mauritius,Entire,-20.2,57.5,Deaths,2020-02-14,0
Mexico,Entire,23.6345,-102.5528,Deaths,2020-02-14,0
Moldova,Entire,47.4116,28.3699,Deaths,2020-02-14,0
Monaco,Entire,43.7333,7.4167,Deaths,2020-02-14,0
Mongolia,Entire,46.8625,103.8467,Deaths,2020-02-14,0
Montenegro,Entire,42.5,19.3,Deaths,2020-02-14,0
Morocco,Entire,31.7917,-7.0926,Deaths,2020-02-14,0
Namibia,Entire,-22.9576,18.4904,Deaths,2020-02-14,0
Nepal,Entire,28.1667,84.25,Deaths,2020-02-14,0
Netherlands,Aruba,12.5186,-70.0358,Deaths,2020-02-14,0
Netherlands,Curacao,12.1696,-68.99,Deaths,2020-02-14,0
Netherlands,Sint Maarten,18.0425,-63.0548,Deaths,2020-02-14,0
Netherlands,Entire,52.1326,5.2913,Deaths,2020-02-14,0
New Zealand,Entire,-40.9006,174.886,Deaths,2020-02-14,0
Nicaragua,Entire,12.8654,-85.2072,Deaths,2020-02-14,0
Niger,Entire,17.6078,8.0817,Deaths,2020-02-14,0
Nigeria,Entire,9.082,8.6753,Deaths,2020-02-14,0
North Macedonia,Entire,41.6086,21.7453,Deaths,2020-02-14,0
Norway,Entire,60.472,8.4689,Deaths,2020-02-14,0
Oman,Entire,21.0,57.0,Deaths,2020-02-14,0
Pakistan,Entire,30.3753,69.3451,Deaths,2020-02-14,0
Panama,Entire,8.538,-80.7821,Deaths,2020-02-14,0
Papua New Guinea,Entire,-6.315,143.9555,Deaths,2020-02-14,0
Paraguay,Entire,-23.4425,-58.4438,Deaths,2020-02-14,0
Peru,Entire,-9.19,-75.0152,Deaths,2020-02-14,0
Philippines,Entire,13.0,122.0,Deaths,2020-02-14,1
Poland,Entire,51.9194,19.1451,Deaths,2020-02-14,0
Portugal,Entire,39.3999,-8.2245,Deaths,2020-02-14,0
Qatar,Entire,25.3548,51.1839,Deaths,2020-02-14,0
Romania,Entire,45.9432,24.9668,Deaths,2020-02-14,0
Russia,Entire,60.0,90.0,Deaths,2020-02-14,0
Rwanda,Entire,-1.9403,29.8739,Deaths,2020-02-14,0
Saint Lucia,Entire,13.9094,-60.9789,Deaths,2020-02-14,0
Saint Vincent and the Grenadines,Entire,12.9843,-61.2872,Deaths,2020-02-14,0
San Marino,Entire,43.9424,12.4578,Deaths,2020-02-14,0
Saudi Arabia,Entire,24.0,45.0,Deaths,2020-02-14,0
Senegal,Entire,14.4974,-14.4524,Deaths,2020-02-14,0
Serbia,Entire,44.0165,21.0059,Deaths,2020-02-14,0
Seychelles,Entire,-4.6796,55.492,Deaths,2020-02-14,0
Singapore,Entire,1.2833,103.8333,Deaths,2020-02-14,0
Slovakia,Entire,48.669,19.699,Deaths,2020-02-14,0
Slovenia,Entire,46.1512,14.9955,Deaths,2020-02-14,0
Somalia,Entire,5.1521,46.1996,Deaths,2020-02-14,0
South Africa,Entire,-30.5595,22.9375,Deaths,2020-02-14,0
Spain,Entire,40.0,-4.0,Deaths,2020-02-14,0
Sri Lanka,Entire,7.0,81.0,Deaths,2020-02-14,0
Sudan,Entire,12.8628,30.2176,Deaths,2020-02-14,0
Suriname,Entire,3.9193,-56.0278,Deaths,2020-02-14,0
Sweden,Entire,63.0,16.0,Deaths,2020-02-14,0
Switzerland,Entire,46.8182,8.2275,Deaths,2020-02-14,0
Taiwan*,Entire,23.7,121.0,Deaths,2020-02-14,0
Tanzania,Entire,-6.369,34.8888,Deaths,2020-02-14,0
Thailand,Entire,15.0,101.0,Deaths,2020-02-14,0
Togo,Entire,8.6195,0.8248,Deaths,2020-02-14,0
Trinidad and Tobago,Entire,10.6918,-61.2225,Deaths,2020-02-14,0
Tunisia,Entire,34.0,9.0,Deaths,2020-02-14,0
Turkey,Entire,38.9637,35.2433,Deaths,2020-02-14,0
Uganda,Entire,1.0,32.0,Deaths,2020-02-14,0
Ukraine,Entire,48.3794,31.1656,Deaths,2020-02-14,0
United Arab Emirates,Entire,24.0,54.0,Deaths,2020-02-14,0
United Kingdom,Bermuda,32.3078,-64.7505,Deaths,2020-02-14,0
United Kingdom,Cayman Islands,19.3133,-81.2546,Deaths,2020-02-14,0
United Kingdom,Channel Islands,49.3723,-2.3644,Deaths,2020-02-14,0
United Kingdom,Gibraltar,36.1408,-5.3536,Deaths,2020-02-14,0
United Kingdom,Isle of Man,54.2361,-4.5481,Deaths,2020-02-14,0
